author_id,author_name
A00001,Yukitoshi Nishimura
A00002,B. Gallardo-Lacourt
A00003,Eric F. Donovan
A00004,V. Angelopoulos
A00005,Nozomu Nishitani
A00006,Sebastian Lay
A00007,Jo Vermeulen
A00008,Charles Perin
A00009,Eric Donovan
A00010,Raimund Dachselt
A00011,Sheelagh Carpendale
A00012,Yang Liu
A00013,Sean Picard
A00014,Carey Williamson
A00015,Jun Liang
A00016,Brian Jackel
A00017,Emma Spanswick
A00018,M. Gillies
A00019,D. Megan Gillies
A00020,David Knudsen
A00021,Robert Gillies
A00022,Bing Yang
A00023,Jonathan Burchill
A00024,Guy Grubbs
A00025,Robert Michell
A00026,Marilia Samara
A00027,Donald Hampton
A00028,James Hecht
A00029,Stanley Solomon
A00030,Jorg-Micha Jahn
A00031,F. S. Mozer
A00032,A. Hull
A00033,Solène Lejosne
A00034,Ivan Y. Vasko
A00035,Bea Gallardo-Lacourt
A00036,Maxime Grandin
A00037,Aurélie Marchaudon
A00038,Mathieu Barthelemy
A00039,Marc R. Lessard
A00040,Yuto Katoh
A00041,Yoshizumi Miyoshi
A00042,Eric Grono
A00043,Noora Partamies
A00044,Nithin Sivadas
A00045,Keisuke Hosokawa
A00046,Mizuki Fukizawa
A00047,Robert G. Michell
A00048,Ryuho Kataoka
A00049,Takeshi Sakanoi
A00050,Daniel K. Whiter
A00051,Shin-ichiro Oyama
A00052,Yasunobu Ogawa
A00053,Satoshi Kurita
A00054,Hyunju Kim Connor
A00055,Tianran Sun
A00056,Andrey Samsonov
A00057,Andrew Read
A00058,Dalin Li
A00059,Gonzalo Cucho-Padin
A00060,Jaewoong Jung
A00061,Brenden Bickner
A00062,C. Philippe Escoubet
A00063,Colin Forsyth
A00064,Steven Sembay
A00065,David Sibeck
A00066,Dmytro Sydorenko
A00067,Chi Wang
A00068,Syau-Yun Hsieh
A00069,Kan Liou
A00070,Frank Morgan
A00071,Abdelaaziz Bouziane
A00072,Mourad Djebli
A00073,Gian Luca Delzanno
A00074,Joseph E. Borovsky
A00075,Michael G. Henderson
A00076,Pedro Alberto Resendiz Lira
A00077,Vadim Roytershteyn
A00078,Daniel T. Welling
A00079,Andreas Keiling
A00080,Ashton Reimer
A00081,D. Hampton
A00082,Shasha Zou
A00083,Roger Varney
A00084,Robert Rankin
A00085,Stephen Milan
A00086,Kazuo Shiokawa
A00087,Yoichi Kazama
A00088,Atsushi Kumamoto
A00089,Fuminori Tsuchiya
A00090,Yukinaga Miyashita
A00091,Y.-M. Tanaka
A00092,Y. Kasahara
A00093,Mitsunori Ozaki
A00094,Ayako Matsuoka
A00095,Shoya Matsuda
A00096,M. Hikishima
A00097,S. Oyama
A00098,Ryoichi Fujii
A00099,Gareth William Perry
A00100,William E. Archer
A00101,O. A. Nava
A00102,Emma L. Spanswick
A00103,J. P. St.-Maurice
A00104,Stephan C. Buchert
A00105,James H. Hecht
A00106,James H. Clemmons
A00107,D. L. Kenward
A00108,F. B. Sadler
A00109,Bruce A. Fritz
A00110,J. Scott Evans
A00111,Kristina A. Lynch
A00112,Martin Connors
A00113,Deborah Gillies
A00114,J. P. St-Maurice
A00115,X. Chu
A00116,Y. Shen
A00117,Takuo T. Tsuda
A00118,Chendong Li
A00119,S. Hamada
A00120,S.-i. Oyama
A00121,Satonori Nozawa
A00122,Tetsuya Kawabata
A00123,Akira Mizuno
A00124,J. Kurihara
A00125,Takanori Nishiyama
A00126,Michael J. Kosch
A00127,Simon Wing
A00128,L. Kepko
A00129,E. A. Roy
A00130,Larry R. Lyons
A00131,Jiang Liu
A00132,William. A. Bristow
A00133,Ying Zou
A00134,Gemma E. Bower
A00135,S. E. Milan
A00136,Larry J. Paxton
A00137,Marc R. Hairston
A00138,S. S. Babu
A00139,Ian. R. Mann
A00140,A. W. Smith
A00141,Stavros Dimitrakoudis
A00142,R. D. Sydora
A00143,Andy Kale
A00144,Yangyang Shen
A00145,Anton Artemyev
A00146,Vassilis Angelopoulos
A00147,Qianli Ma
A00148,Larry Lyons
A00149,Xiao-Jia Zhang
A00150,Ivan Vasko
A00151,Donald L. Hampton
A00152,Ildiko Horvath
A00153,Brian C. Lovell
A00154,X. Fang
A00155,Xu Zhang
A00156,K. A. Sorathia
A00157,Mykhaylo Shumko
A00158,H. Arnold
A00159,G. Sinha
A00160,Viacheslav G. Merkin
A00161,A. Sciola
A00162,A. Michael
A00163,Dong Lin
A00164,S. Bao
A00165,Y. Pan
A00166,J. Garretson
A00167,D. Turner
A00168,Aleksandr Y. Ukhorskiy
A00169,Jinghan Wang
A00170,Jing Liu
A00171,Shuhan Li
A00172,Josh Houghton
A00173,Ping Zhu
A00174,Jiaxing Liu
A00175,Sui Wan
A00176,Fei He
A00177,Yong Wei
A00178,Weixing Wan
A00179,Takuo Tsuda
A00180,Chris Hall
A00181,"University of Calgary, Calgary, T2N 1N4, Canada"
A00182,Farui Jiang
A00183,Chonghao Liu
A00184,Jianan Zhao
A00185,Baode Jiang
A00186,Fengyan Fan
A00187,Niharika H. Godbole
A00188,David R. Kenward
A00189,Roger. H. Varney
A00190,Don Hampton
A00191,Darren Chaddock
A00192,Alexa Jean Halford
A00193,I. Thompson
A00194,Kyle R. Murphy
A00195,Hannah Parry
A00196,I. Mann
A00197,Martin O. Archer
A00198,Xueling Shi
A00199,Maria-Theresia Walach
A00200,Michael D. Hartinger
A00201,Simone Di Matteo
A00202,Frances Staples
A00203,Katariina Nykyri
A00204,D. Rego
A00205,Marie-Noëlle Decraene
A00206,Johanna Marin-Carbonne
A00207,Christophe Thomazo
A00208,Arnaud Brayard
