author_id,author_name
A00001,William E. Ward
A00002,Z. Pasturczyk
A00003,W. A. Gault
A00004,Gordon G. Shepherd
A00005,R. Marchand
A00006,R. Rankin
A00007,C.E. Capjack
A00008,A Birnboim
A00009,R Rankin
A00010,R Marchand
A00011,C R James
A00012,A. Birnboim
A00013,G. G. Shepherd
A00014,R. H. Wiens
A00015,W. Ward
A00016,W. A. .. Gault
A00017,R. Wiens
A00018,C.P.T. Groth
A00019,J.J. Gottlieb
A00020,C. Bourget
A00021,J.J Gottlieb
A00022,C.P.T Groth
A00023,C. E. Capjack
A00024,C. R. James
A00025,M.J. Taylor
A00026,G. Chisham
A00027,D. Orr
A00028,T.K. Yeoman
A00029,M. Lester
A00030,H. Lühr
A00031,D.K. Milling
A00032,H. Luhr
A00033,E. F. Donovan
A00034,G. Rostoker
A00035,T.K. Yeomman
A00036,N. H. Burnett
A00037,P. B. Corkum
A00038,E. Mravlag
A00039,M.W.J. Scourfield
A00040,A.D.M. Walker
A00041,P.R. Sutcliffe
A00042,E. Nielsen
A00043,Mao Tian
A00044,T.B. Jones
A00045,P. Frycz
A00046,J. C. Samson
A00047,D. R. Moorcroft
A00048,Gordon Rostoker
A00049,Brian Jackel
A00050,Roger L. Arnoldy
A00051,Y. Y. Tsui
A00052,R. Fedosejevs
A00053,A. A. Offenberger
A00054,Victor I. Fomichev
A00055,J.P. Morelli
A00056,R.J. Bunting
A00057,S.W.H. Cowley
A00058,C.J. Farrugia
A00059,M.P. Freeman
A00060,E. Friis-Christensen
A00061,G.O.L. Jones
A00062,R.V. Lewis
A00063,M. Pinnock
A00064,G.D. Reeves
A00065,P.J.S. Williams
A00066,Martin Connors
A00067,P. H. Haynes
A00068,W. E. Ward
A00069,W.E. Ward
A00070,Y.J. Rochon
A00071,C. McLandress
A00072,D.Y. Wang
A00073,J.R. Criswick
A00074,B.H. Solheim
A00075,G.G. Shepherd
A00076,N. J. Fox
A00077,M. Lockwood
A00078,S. W. H. Cowley
A00079,M. P. Freeman
A00080,D. K. Milling
A00081,G. D. Reeves
A00082,William A. Gault
A00083,Charles H. Hersom
A00084,C. C. Tai
A00085,Brian H. Solheim
A00086,Yves J. Rochon
A00087,R. A. Greenwald
A00088,K. B. Baker
A00089,J. R. Dudeney
A00090,Mike Pinnock
A00091,T. B. Jones
A00092,E. C. Thomas
A00093,J. -P. Villain
A00094,Jean-Claude Cerisier
A00095,C. Senior
A00096,C. Hanuise
A00097,R. D. Hunsucker
A00098,George Sofko
A00099,J. Koehler
A00100,R. Pellinen
A00101,Anthony D. M. Walker
A00102,Natsuo Sato
A00103,Hisao Yamagishi
A00104,George J. Sofko
A00105,Ray Greenwald
A00106,William Bristow
A00107,I.F. Grant
A00108,J.W. MacDougall
A00109,J.M. Ruohoniemi
A00110,W.A. Bristow
A00111,G.J. Sofko
A00112,J.A. Koehler
A00113,D. Danskin
A00114,D. André
A00115,James A. Whiteway
A00116,Allan I. Carswell
A00117,V. T. Tikhonchuk
A00118,S Brown
A00119,P Roe
A00120,C Groth
A00121,T Gombosi
A00122,A. R. Hildebrand
A00123,M. Pilkington
A00124,M. Connors
A00125,C. Ortiz-Aleman
A00126,R. E. Chavez
A00127,G.G Shepherd
A00128,C McLandress
A00129,C. Kan
A00130,T. K. Yeoman
A00131,J. A. Davies
