paper_id,instrument_id,instrument_status
P00001,I00001,uses
P00002,I00002,uses
P00003,I00002,uses
P00003,I00001,uses
P00004,I00002,uses
P00004,I00001,uses
P00005,I00002,uses
P00005,I00001,uses
P00006,I00002,uses
P00006,I00001,uses
P00007,I00002,uses
P00007,I00001,uses
P00008,I00002,uses
P00008,I00001,uses
P00009,I00002,uses
P00009,I00001,uses
P00010,I00002,uses
P00010,I00001,uses
P00011,I00002,uses
P00011,I00001,uses
P00012,I00002,uses
P00013,I00002,uses
P00013,I00003,uses
P00014,I00002,uses
P00014,I00003,uses
P00015,I00002,uses
P00015,I00001,uses
P00016,I00002,uses
P00016,I00003,uses
P00017,I00002,uses
P00017,I00001,uses
P00018,I00002,uses
P00018,I00001,uses
P00018,I00003,uses
P00019,I00002,uses
P00019,I00001,uses
P00020,I00002,uses
P00021,I00002,uses
P00021,I00003,uses
P00022,I00002,uses
P00022,I00001,uses
P00023,I00002,uses
P00023,I00003,uses
P00024,I00002,uses
P00024,I00001,uses
P00025,I00002,uses
P00025,I00001,uses
P00026,I00002,uses
P00026,I00001,uses
P00027,I00002,uses
P00027,I00001,uses
P00028,I00002,uses
P00028,I00001,uses
P00029,I00002,uses
P00029,I00003,uses
P00030,I00002,uses
P00030,I00001,uses
P00031,I00002,uses
P00031,I00001,uses
P00032,I00002,uses
P00032,I00001,uses
P00033,I00002,uses
P00033,I00001,uses
P00034,I00002,uses
P00034,I00001,uses
P00035,I00004,uses
P00036,I00002,uses
P00036,I00001,uses
P00037,I00002,uses
P00037,I00001,uses
P00038,I00002,uses
P00038,I00001,uses
P00039,I00002,uses
P00039,I00005,uses
P00040,I00002,uses
P00040,I00005,uses
P00041,I00002,uses
P00041,I00005,uses
P00042,I00002,uses
P00042,I00001,uses
P00043,I00002,uses
P00043,I00001,uses
P00044,I00002,uses
P00044,I00001,uses
P00045,I00002,uses
P00045,I00001,uses
P00046,I00002,uses
P00046,I00001,uses
P00047,I00002,uses
P00047,I00001,uses
P00048,I00004,uses
P00049,I00002,uses
P00049,I00001,uses
P00050,I00002,uses
P00050,I00001,uses
P00051,I00004,uses
P00052,I00002,uses
P00052,I00001,uses
P00053,I00002,uses
P00053,I00005,uses
P00054,I00006,uses
P00054,I00002,uses
P00055,I00002,uses
P00055,I00001,uses
P00056,I00002,uses
P00056,I00001,uses
P00057,I00002,uses
P00057,I00005,uses
P00058,I00002,uses
P00058,I00001,uses
P00059,I00002,uses
P00059,I00001,uses
P00060,I00002,uses
P00060,I00005,uses
P00061,I00002,uses
P00061,I00001,uses
P00062,I00002,uses
P00062,I00001,uses
P00063,I00002,uses
P00063,I00001,uses
P00064,I00002,uses
P00064,I00001,uses
P00065,I00002,uses
P00065,I00001,uses
P00066,I00002,uses
P00066,I00001,uses
P00067,I00002,uses
P00067,I00003,uses
P00068,I00002,uses
P00068,I00001,uses
P00069,I00002,uses
P00069,I00003,uses
P00070,I00007,uses
P00071,I00002,uses
P00071,I00001,uses
P00072,I00002,uses
P00072,I00003,uses
P00073,I00002,uses
P00073,I00001,uses
P00074,I00002,uses
P00074,I00001,uses
P00075,I00002,uses
P00075,I00003,uses
P00076,I00002,uses
P00076,I00001,uses
P00077,I00002,uses
P00077,I00001,uses
P00078,I00002,uses
P00078,I00001,uses
P00079,I00002,uses
P00079,I00005,uses
P00080,I00002,uses
P00080,I00005,uses
P00081,I00002,uses
P00081,I00005,uses
P00082,I00002,uses
P00082,I00001,uses
P00082,I00008,uses
P00083,I00002,uses
P00083,I00001,uses
P00084,I00002,uses
P00084,I00005,uses
P00085,I00002,uses
P00085,I00001,uses
P00086,I00002,uses
P00086,I00003,uses
P00087,I00002,uses
P00087,I00005,uses
P00088,I00002,uses
P00088,I00005,uses
P00089,I00002,uses
P00089,I00005,uses
P00089,I00003,uses
P00090,I00002,uses
P00090,I00005,uses
P00091,I00002,uses
P00091,I00005,uses
P00092,I00002,uses
P00092,I00001,uses
P00093,I00002,uses
P00093,I00001,uses
P00093,I00008,uses
P00094,I00001,uses
P00094,I00002,uses
P00095,I00002,uses
P00095,I00001,uses
P00096,I00002,uses
P00096,I00001,uses
P00097,I00002,uses
P00097,I00005,uses
P00098,I00002,uses
P00098,I00001,uses
P00099,I00002,uses
P00099,I00001,uses
P00100,I00002,uses
P00100,I00001,uses
P00101,I00002,uses
P00101,I00005,uses
P00102,I00002,uses
P00102,I00005,uses
P00103,I00002,uses
P00103,I00003,uses
P00104,I00002,uses
P00104,I00001,uses
P00105,I00002,uses
P00105,I00005,uses
P00106,I00002,uses
P00106,I00005,uses
P00107,I00002,uses
P00107,I00005,uses
P00108,I00002,uses
P00108,I00001,uses
P00109,I00002,uses
P00109,I00001,uses
P00110,I00002,uses
P00110,I00001,uses
P00111,I00004,uses
P00111,I00002,uses
P00111,I00001,uses
P00112,I00002,uses
P00112,I00005,uses
P00113,I00002,uses
P00113,I00001,uses
P00114,I00002,uses
P00114,I00001,uses
P00115,I00002,uses
P00115,I00001,uses
P00116,I00004,uses
P00117,I00002,uses
P00117,I00005,uses
P00118,I00002,uses
P00118,I00005,uses
P00119,I00002,uses
P00119,I00005,uses
P00120,I00002,uses
P00120,I00005,uses
P00121,I00002,uses
P00121,I00005,uses
P00122,I00002,uses
P00122,I00005,uses
P00123,I00002,uses
P00123,I00001,uses
P00124,I00002,uses
P00124,I00001,uses
P00124,I00008,uses
P00125,I00002,uses
P00125,I00003,uses
P00126,I00002,uses
P00126,I00001,uses
P00127,I00002,uses
P00127,I00005,uses
P00128,I00002,uses
P00128,I00001,uses
P00129,I00002,uses
P00129,I00005,uses
P00130,I00002,uses
P00130,I00005,uses
P00131,I00002,uses
P00131,I00001,uses
P00132,I00002,uses
P00133,I00002,uses
P00133,I00005,uses
P00134,I00002,uses
P00134,I00001,uses
P00135,I00002,uses
P00135,I00001,uses
P00136,I00002,uses
P00136,I00001,uses
P00137,I00002,uses
P00137,I00005,uses
P00138,I00002,uses
P00138,I00001,uses
P00139,I00002,uses
P00139,I00005,uses
P00140,I00002,uses
P00140,I00005,uses
P00141,I00002,uses
P00141,I00005,uses
P00142,I00002,uses
P00142,I00005,uses
P00143,I00002,uses
P00143,I00005,uses
P00144,I00002,uses
P00144,I00005,uses
P00145,I00004,uses
P00145,I00002,uses
P00145,I00005,uses
P00146,I00002,uses
P00146,I00005,uses
P00147,I00002,uses
P00147,I00005,uses
P00148,I00002,uses
P00148,I00005,uses
P00149,I00002,uses
P00149,I00001,uses
P00150,I00002,uses
P00150,I00005,uses
P00151,I00002,uses
P00152,I00002,uses
P00152,I00005,uses
P00153,I00002,uses
P00153,I00001,uses
P00154,I00002,uses
P00154,I00001,uses
P00155,I00002,uses
P00155,I00001,uses
P00156,I00002,uses
P00156,I00001,uses
P00156,I00003,uses
P00157,I00002,uses
P00157,I00005,uses
P00158,I00002,uses
P00158,I00001,uses
P00159,I00004,uses
P00160,I00004,uses
P00161,I00002,uses
P00161,I00003,uses
P00162,I00002,uses
P00162,I00001,uses
P00163,I00002,uses
P00163,I00001,uses
P00164,I00002,uses
P00164,I00005,uses
P00165,I00002,uses
P00165,I00005,uses
P00165,I00003,uses
P00166,I00002,uses
P00166,I00001,uses
P00167,I00002,uses
P00167,I00001,uses
P00168,I00002,uses
P00168,I00001,uses
P00169,I00002,uses
P00169,I00005,uses
P00170,I00002,uses
P00170,I00008,uses
P00171,I00002,uses
P00171,I00001,uses
P00172,I00002,uses
P00173,I00002,uses
P00173,I00005,uses
P00174,I00002,uses
P00174,I00005,uses
P00175,I00002,uses
P00175,I00001,uses
P00176,I00002,uses
P00176,I00005,uses
P00177,I00002,uses
P00177,I00001,uses
P00178,I00002,uses
P00178,I00005,uses
P00179,I00002,uses
P00179,I00001,uses
P00180,I00004,uses
P00181,I00004,uses
P00182,I00002,uses
P00182,I00005,uses
P00183,I00002,uses
P00183,I00001,uses
P00184,I00002,uses
P00184,I00005,uses
P00185,I00002,uses
P00185,I00001,uses
P00186,I00002,uses
P00186,I00001,uses
P00187,I00002,uses
P00187,I00001,uses
P00188,I00002,uses
P00188,I00001,uses
P00188,I00008,uses
P00189,I00002,uses
P00189,I00001,uses
P00190,I00002,uses
P00190,I00005,uses
P00191,I00004,uses
P00192,I00002,uses
P00192,I00001,uses
P00193,I00002,uses
P00193,I00005,uses
P00194,I00002,uses
P00194,I00005,uses
P00195,I00002,uses
P00195,I00001,uses
P00196,I00002,uses
