paper_id,instrument_id,status,evidence_quote,checked_date,notes
P02823,I00004,verified_false,,2026-06-26T20:58:51,
P01923,I00002,verified_false,,2026-06-26T21:53:08,
P02819,I00004,verified_false,talks about craters,2026-06-26T20:59:52,
P04192,I00004,verified_true,,2026-06-29T16:22:16,
P04192,I00008,verified_true,,2026-06-29T16:22:16,
P04192,I00005,verified_true,,2026-06-29T16:22:16,
P01728,I00005,verified_true,,2026-06-29T16:24:23,
P01739,I00002,verified_false,,2026-06-26T21:01:30,
P04040,I00002,verified_true,,2026-06-26T21:58:15,
P04192,I00002,verified_true,,2026-06-29T16:22:16,
P01728,I00002,verified_true,,2026-06-29T16:24:23,
P01739,I00001,verified_false,,2026-06-26T21:01:30,
P04040,I00004,verified_true,,2026-06-26T21:58:15,
P04040,I00005,verified_true,,2026-06-26T21:58:15,
P04753,I00002,verified_true,,2026-06-29T16:29:59,
P00842,I00002,verified_false,,2026-06-26T21:02:52,
P00842,I00001,verified_false,,2026-06-26T21:02:52,
P02675,I00002,verified_true,,2026-06-26T22:01:38,
P04753,I00001,verified_true,,2026-06-29T16:29:59,
P02270,I00002,verified_false,,2026-06-26T21:04:18,
P04322,I00004,verified_true,,2026-06-26T21:06:10,
P04322,I00010,verified_true,,2026-06-26T21:06:10,
P02675,I00004,verified_true,,2026-06-26T22:01:38,
P02675,I00001,verified_true,,2026-06-26T22:01:38,
P01457,I00005,verified_false,not superDARN Ca,2026-06-29T16:32:34,
P02270,I00003,verified_false,,2026-06-26T21:04:18,
P04322,I00002,verified_true,,2026-06-26T21:06:10,
P04322,I00001,verified_true,,2026-06-26T21:06:10,
P01457,I00002,verified_false,,2026-06-29T16:32:34,
P04674,I00004,verified_false,,2026-06-26T21:08:16,
P04716,I00010,verified_false,,2026-06-26T21:09:49,
P01174,I00002,verified_true,uses carisma,2026-06-26T21:11:34,
P04716,I00002,verified_false,,2026-06-26T21:09:49,
P01174,I00001,verified_true,,2026-06-26T21:11:34,
P03426,I00002,verified_false,doesnt use data,2026-06-29T15:02:26,
P03426,I00005,verified_false,,2026-06-29T15:02:26,
P02063,I00004,verified_true,,2026-06-29T15:04:31,
P02063,I00002,verified_true,uses CHAIN,2026-06-29T15:04:31,
P02063,I00010,verified_true,,2026-06-29T15:04:31,
P02063,I00001,verified_true,,2026-06-29T15:04:31,
P02063,I00008,verified_true,,2026-06-29T15:04:31,
P03360,I00004,verified_false,,2026-06-29T16:36:12,
P00701,I00002,verified_false,,2026-06-26T21:17:04,
P04565,I00004,verified_true,,2026-06-29T15:09:08,
P04565,I00002,verified_true,CARISMA AND GO RIO,2026-06-29T15:09:08,
P04565,I00011,verified_true,,2026-06-29T15:09:08,
P01854,I00004,verified_false,,2026-06-29T16:37:03,
P01218,I00001,verified_true,,2026-06-29T16:37:57,
P00701,I00005,verified_false,old superDARN,2026-06-26T21:17:04,
P01508,I00002,verified_true,,2026-06-29T15:10:59,
P01218,I00002,verified_true,,2026-06-29T16:37:57,
P02147,I00002,verified_false,,2026-06-26T21:18:11,
P01508,I00003,verified_true,,2026-06-29T15:10:59,
P00443,I00002,verified_false,,2026-06-29T16:41:23,
P00443,I00003,verified_false,,2026-06-29T16:41:23,
P03588,I00002,verified_false,,2026-06-26T21:19:31,
P03588,I00001,verified_false,,2026-06-26T21:19:31,
P01120,I00006,verified_true,,2026-06-09T10:20:22,transferred_from_main_by_doi_and_instrument_mapping
P00443,I00001,verified_false,,2026-06-29T16:41:23,
P04051,I00004,verified_false,,2026-06-26T21:23:39,
P04276,I00004,verified_false,,2026-06-29T16:42:45,
P01855,I00005,verified_true,All SuperDARN radar data available in the northern hemisphere are collected for the selected SI events.,2026-08-19T20:07:20,
P01537,I00003,verified_false,,2026-06-26T21:25:16,
P04956,I00002,verified_true,CARISMA + GO RIO,2026-06-29T15:56:04,
P04956,I00011,verified_true,,2026-06-29T15:56:04,
P02526,I00002,verified_false,Not Canadian radars,2026-06-29T16:45:20,
P02936,I00002,verified_false,,2026-07-13T14:22:45,
P02936,I00005,verified_false,only uses CUTLASS,2026-07-13T14:22:45,
P01855,I00002,verified_true,,2026-08-19T20:07:20,
P01537,I00002,verified_false,,2026-06-26T21:25:16,
P04956,I00003,verified_true,,2026-06-29T15:56:04,
P02526,I00005,verified_false,,2026-06-29T16:45:20,
P01467,I00002,verified_false,,2026-08-19T20:12:13,
