author_id,author_name
A00001,F. R. Fenrich
A00002,C. L. Waters
A00003,M. Connors
A00004,C. Bredeson
A00005,F. W. Menk
A00006,M. F. Thomsen
A00007,C. Foster
A00008,Gareth Chisham
A00009,Mark Lester
A00010,S. E. Milan
A00011,Mervyn. P. Freeman
A00012,William. A. Bristow
A00013,Adrian Grocott
A00014,Kathryn A. McWilliams
A00015,J. M. Ruohoniemi
A00016,T. K. Yeoman
A00017,P. L. Dyson
A00018,R. A. Greenwald
A00019,Takashi Kikuchi
A00020,Mike Pinnock
A00021,J. P. S. Rash
A00022,Natsuo Sato
A00023,George J. Sofko
A00024,J.-P. Villain
A00025,Anthony D. M. Walker
A00026,P. T. Newell
A00027,T. Sotirelis
A00028,K. Liou
A00029,C.‐I. Meng
A00030,F. J. Rich
A00031,W. A. Bristow
A00032,Poul Jensen
A00033,H.C. Scoffield
A00034,T.K. Yeoman
A00035,D.M. Wright
A00036,S.E. Milan
A00037,A.N. Wright
A00038,R.J. Strangeway
A00039,B. Hubert
A00040,K. Kauristie
A00041,O. Amm
A00042,A. Grocott
A00043,S. W. H. Cowley
A00044,T. I. Pulkkinen
A00045,Jun Liang
A00046,W. W. Liu
A00047,E. Spanswick
A00048,E. F. Donovan
A00049,A. Boudouridis
A00050,E. Zesta
A00051,D. J. Livneh
A00052,I. Seker
A00053,F. T. Djuth
A00054,J. D. Mathews
A00055,M. J. Kosch
A00056,T. Pedersen
A00057,E. Mishin
A00058,S. Oyama
A00059,J. Hughes
A00060,A. Senior
A00061,B. Watkins
A00062,B. Bristow
A00063,Y. Murata
A00064,Satoshi Taguchi
A00065,Keisuke Hosokawa
A00066,A. Nakao
A00067,M. R. Collier
A00068,Thomas E. Moore
A00069,Hisao Yamagishi
A00070,Akira Sessai Yukimatu
A00071,D.‐S. Han
A00072,H.‐G. Yang
A00073,Z.‐T. Chen
A00074,T. Araki
A00075,M. W. Dunlop
A00076,M. Nosé
A00077,T. Iyemori
A00078,Q. Li
A00079,Y.‐F. Gao
A00080,K. Yumoto
A00081,L. R. Lyons
A00082,Stephen B. Mende
A00083,V. Angelopoulos
A00084,Harald U. Frey
A00085,Stewart Harris
A00086,Eric Donovan
A00087,Brian Jackel
A00088,M. Syrjaesuo
A00089,Christopher T. Russell
A00090,I. Mann
A00091,K. Kabin
A00092,R. Rankin
A00093,C.L. Waters
A00094,R. Marchand
A00095,E.F. Donovan
A00096,J.C. Samson
A00097,Ponomarenko P.V.
A00098,Waters C.L.
A00099,Menk F.W.
A00100,Ryuho Kataoka
A00101,Nozomu Nishitani
A00102,Yusuke Ebihara
A00103,Tadahiko Ogawa
A00104,Yoshizumi Miyoshi
A00105,E. Donovan
A00106,Meurant M.
A00107,Gérard J.-C.
A00108,Blockx C.
A00109,Spanswick E.
A00110,Donovan E.F.
A00111,Hubert B.
A00112,Coumans V.
A00113,Connors M.
A00114,H. Fujiwara
A00115,R. Kataoka
A00116,M. Suzuki
A00117,S. Maeda
A00118,S. Nozawa
A00119,K. Hosokawa
A00120,H. Fukunishi
A00121,N. Sato
A00122,M. Lester
A00123,Andrew J. Kavanagh
A00124,Gang Lu
A00125,Eric F. Donovan
A00126,G. D. Reeves
A00127,Farideh Honary
A00128,J. Manninen
A00129,T. J. Immel
A00130,Rae I.J.
A00131,Watt C.E.J.
A00132,Fenrich F.R.
A00133,Mann I.R.
A00134,Ozeke L.G.
A00135,Kale A.
A00136,Paul Wiegert
A00137,David Balam
A00138,Andrea Moss
A00139,Christian Veillet
A00140,Martin Connors
A00141,Ian Shelton
A00142,Trond Trondsen
A00143,J. Spann
A00144,W. Liu
A00145,Emma Spanswick
A00146,C.-Y. Tu
A00147,Aaron Ridley
A00148,M. Henderson
A00149,T. Immel
A00150,Stephen Mende
A00151,John Bonnell
A00152,Mikko Syrjäsuo
A00153,George Sofko
A00154,Leroy Cogger
A00155,J. Murphree
A00156,Periyadan T. Jayachandran
A00157,Tuija Pulkkinen
A00158,Robert Rankin
A00159,J. Sigwarth
A00160,V. Coumans
A00161,C. Blockx
A00162,J.‐C. Gérard
A00163,E.-A. Lee
A00164,Ian. R. Mann
A00165,T. M. Loto'aniu
A00166,Z. C. Dent
A00167,Lisa J. Baddeley
A00168,Darren M. Wright
A00169,Z. C. Kale
A00170,I. R. Mann
A00171,J. Goldstein
A00172,L. G. Ozeke
A00173,D. Vassiliadis
A00174,I.R. Mann
A00175,S.F. Fung
A00176,X. Shao
A00177,A. V. Koustov
A00178,D. André
A00179,E. Turunen
A00180,T. Raito
A00181,S. E. Haaland
A00182,G. Paschmann
A00183,M. Förster
A00184,J. M. Quinn
A00185,R. B. Torbert
A00186,C. E. McIlwain
A00187,H. Vaith
A00188,P. A. Puhl-Quinn
A00189,C. A. Kletzing
A00190,O. Kozyreva
A00191,V. Pilipenko
A00192,M.J. Engebretson
A00193,J. Watermann
A00194,N. Romanova
A00195,Gary A. Abel
A00196,Nicholas W. Watkins
A00197,Olaf Amm
A00198,Liisa Juusola
A00199,Rumi Nakamura
A00200,C. J. Owen
A00201,H. Rème
A00202,T. Takada
A00203,I. Jonathan Rae
A00204,David K. Milling
A00205,S. Saito
A00206,M. Yamamoto
A00207,H. Hashiguchi
A00208,A. Maegawa
A00209,A. Saito
A00210,T. E. Sarris
A00211,X. Li
A00212,H. J. Singer
A00213,P. T. Jayachandran
A00214,J. W. MacDougall
A00215,A. M. Hamza
