paper_id,author_id,author_order
P00001,A00001,1
P00001,A00002,2
P00001,A00003,3
P00001,A00004,4
P00002,A00002,1
P00002,A00005,2
P00002,A00006,3
P00002,A00007,4
P00002,A00001,5
P00003,A00008,1
P00003,A00009,2
P00003,A00010,3
P00003,A00011,4
P00003,A00012,5
P00003,A00013,6
P00003,A00014,7
P00003,A00015,8
P00003,A00016,9
P00003,A00017,10
P00003,A00018,11
P00003,A00019,12
P00003,A00020,13
P00003,A00021,14
P00003,A00022,15
P00003,A00023,16
P00003,A00024,17
P00003,A00025,18
P00004,A00026,1
P00004,A00027,2
P00004,A00028,3
P00004,A00029,4
P00004,A00030,5
P00005,A00031,1
P00005,A00032,2
P00006,A00033,1
P00006,A00034,2
P00006,A00035,3
P00006,A00036,4
P00006,A00037,5
P00006,A00038,6
P00007,A00039,1
P00007,A00040,2
P00007,A00041,3
P00007,A00010,4
P00007,A00042,5
P00007,A00043,6
P00007,A00044,7
P00008,A00045,1
P00008,A00046,2
P00008,A00047,3
P00008,A00048,4
P00009,A00049,1
P00009,A00050,2
P00010,A00051,1
P00010,A00052,2
P00010,A00053,3
P00010,A00054,4
P00011,A00055,1
P00011,A00056,2
P00011,A00057,3
P00011,A00058,4
P00011,A00059,5
P00011,A00060,6
P00011,A00061,7
P00011,A00062,8
P00012,A00063,1
P00012,A00064,2
P00012,A00065,3
P00012,A00066,4
P00012,A00067,5
P00012,A00068,6
P00012,A00022,7
P00012,A00069,8
P00012,A00070,9
P00013,A00071,1
P00013,A00072,2
P00013,A00073,3
P00013,A00074,4
P00013,A00075,5
P00013,A00076,6
P00013,A00077,7
P00013,A00078,8
P00013,A00079,9
P00013,A00080,10
P00014,A00049,1
P00014,A00081,2
P00014,A00050,3
P00014,A00015,4
P00015,A00082,1
P00015,A00083,2
P00015,A00084,3
P00015,A00085,4
P00015,A00086,5
P00015,A00087,6
P00015,A00088,7
P00015,A00089,8
P00015,A00090,9
P00016,A00091,1
P00016,A00092,2
P00016,A00093,3
P00016,A00094,4
P00016,A00095,5
P00016,A00096,6
P00017,A00097,1
P00017,A00098,2
P00017,A00099,3
P00018,A00100,1
P00018,A00101,2
P00018,A00102,3
P00018,A00065,4
P00018,A00103,5
P00018,A00019,6
P00018,A00104,7
P00019,A00093,1
P00019,A00091,2
P00019,A00092,3
