author_id,author_name
A00001,W.D Carter
A00002,Allen G. McNamara
A00003,Don R. McDiarmid
A00004,George J. Sofko
A00005,James A. Koehler
A00006,P. A. Forsyth
A00007,D. R. Moorcroft
A00008,G.J. Sofko
A00009,J.A. Koehler
A00010,J. Gilmer
A00011,A.G. McNamara
A00012,D.R. McDiarmid
A00013,E. Nielsen
A00014,G. Sofko
A00015,W. I. Axford
A00016,K. PAJUNPÄÄ
A00017,J. HEIKKA
A00018,T. KORJA
A00019,Berthold Wedding
A00020,Armin Gasch
A00021,Dieter Jäger
A00022,J. Koehler
A00023,P. Prikryl
A00024,D. R. McDiarmid
A00025,J. A. Koehler
A00026,G. J. Sofko
A00027,V. Mehta
A00028,James H. Scott
A00029,Gary G. Olson
A00030,William E. Ward
A00031,Z. Pasturczyk
A00032,W. A. Gault
A00033,Gordon G. Shepherd
A00034,A. Korth
A00035,G. Kremser
A00036,Shih-Bin R. Chang
A00037,Joseph L. Kirschvink
A00038,John F. Stolz
A00039,G. G. Shepherd
A00040,R. H. Wiens
A00041,W. Ward
A00042,C Haldoupis
A00043,G J Sofko
A00044,J A Koehler
A00045,P Prikry
A00046,A G McNamara
A00047,W. A. .. Gault
A00048,R. Wiens
A00049,B. Brisco
A00050,R.J. Brown
A00051,D. André
A00052,M. J. McKibben
A00053,Andrzej Bielski
A00054,Romuald Bobkowski
A00055,Jozef Szudy
A00056,G.C. Hussey
A00057,M.J. McKibben
A00058,M.R. Hinds
A00059,A.G. Wacker
A00060,M.P. Poettcker
A00061,M.J. Taylor
A00062,G. Chisham
A00063,D. Orr
A00064,J. Sloboshan
A00065,M. McKibben
A00066,T.K. Yeoman
A00067,M. Lester
A00068,J. Watermann
A00069,A. G. McNamara
A00070,D. McDiarmid
A00071,K. H. Helgason
A00072,Gerald Cecil
A00073,Jonathan Bland
A00074,R. Brent Tully
A00075,H. Lühr
A00076,D.K. Milling
A00077,T GILLESPIE
A00078,B BRISCO
A00079,R BROWN
A00080,G SOFKO
A00081,J KOEHLER
A00082,M MCKIBBEN
A00083,H. Luhr
A00084,Jonathan Bland-Hawthorn
A00085,James Sokolowski
A00086,E. F. Donovan
A00087,G. Rostoker
A00088,Paul Prikryl
A00089,Dieter André
A00090,Don D. Wallis
A00091,Terry J. Hughes
A00092,Bruce A. McIntosh
A00093,Juergen Watermann
A00094,Kiyoshi Watanabe
A00095,T.K. Yeomman
A00096,A Bielski
A00097,R S Trawinski
A00098,J Wolnikowski
A00099,J Szudy
A00100,R. J. BROWN
A00101,B. SNIDER
A00102,A. G. WACKER
A00103,Mao Tian
A00104,T.B. Jones
A00105,J L Kirschvink
A00106,A Kobayashi-Kirschvink
A00107,B J Woodford
A00108,G. J. Stacey
A00109,J. W. Beeman
A00110,E. E. Haller
A00111,N. Geis
A00112,A. Poglitsch
A00113,M. Rumitz
A00114,Gordon Rostoker
A00115,Brian Jackel
A00116,Roger L. Arnoldy
A00117,J. P. St.-Maurice
A00118,Fokke Creutzberg
A00119,Noboru Uehara
A00120,Ken-ichi Ueda
A00121,L. Cogger
A00122,R. Gattinger
A00123,K. Smith
A00124,R. Buckingham
A00125,Nicholas M. Sampas
A00126,R. Liu
A00127,Eric K. Gustafson
A00128,Robert L. Byer
A00129,Martin R. Hinds
A00130,Arden L. Steinbach
A00131,J. Wang
A00132,P.B. Hays
A00133,S.R. Drayson
A00134,E.W. Koenig
A00135,Victor I. Fomichev
A00136,J.P. Morelli
A00137,R.J. Bunting
A00138,S.W.H. Cowley
A00139,C.J. Farrugia
A00140,M.P. Freeman
A00141,E. Friis-Christensen
A00142,G.O.L. Jones
A00143,R.V. Lewis
A00144,M. Pinnock
A00145,G.D. Reeves
A00146,P.J.S. Williams
A00147,R. S. Trawiński
A00148,A. Bielski
A00149,R. Ciuryło
A00150,J. Szudy
A00151,Martin Connors
A00152,P. H. Haynes
A00153,W. E. Ward
A00154,W.E. Ward
A00155,Y.J. Rochon
A00156,C. McLandress
A00157,D.Y. Wang
A00158,J.R. Criswick
A00159,B.H. Solheim
A00160,G.G. Shepherd
A00161,Javad Golzarian
A00162,Daniel J. Staton
A00163,John P. Wikswo
A00164,Richard N. Friedman
A00165,William O. Richards
A00166,N. J. Fox
A00167,M. Lockwood
A00168,S. W. H. Cowley
A00169,M. P. Freeman
A00170,D. K. Milling
A00171,G. D. Reeves
A00172,G. Mann
A00173,H. Luehr
A00174,Noboru Uehara Noboru Uehara
A00175,Ken-ichi Ueda Ken-ichi Ueda
A00176,M. V. Uspensky
A00177,A. V. Kustov
A00178,J. P. Villain
A00179,C. Hanuise
A00180,J. M. Ruohoniemi
A00181,P. J. S. Williams
A00182,M. N. Keene
A00183,S. W. Goodyear
A00184,N. G. Chew
A00185,R. G. Humphreys
A00186,J. S. Satchell
A00187,J. A. Edwards
A00188,K. Lander
A00189,S Brym
A00190,R Ciurylo
A00191,J Domyslawska
A00192,E Lisicki
A00193,William A. Gault
A00194,Charles H. Hersom
A00195,C. C. Tai
A00196,Brian H. Solheim
A00197,D. W. Danskin
A00198,Yves J. Rochon
A00199,Israel Oznovich
A00200,Ronald Yee
A00201,Andreas Schiffler
A00202,Donald J. McEwen
A00203,J. S. Murphree
A00204,R A. King
A00205,T. Payne
A00206,D. Reid
A00207,J. Adema
A00208,B. Gordon
A00209,R. Wlochowicz
A00210,S. Veilleux
A00211,G. Cecil
A00212,J. Bland-Hawthorn
A00213,R. B. Tully
A00214,A. V. Filippenko
A00215,W. L. W. Sargent
A00216,N. Uehara
A00217,K. Ueda
A00218,John C. Samson
A00219,A. Vallance Jones
A00220,Leroy L. Cogger
A00221,R. A. Greenwald
A00222,K. B. Baker
A00223,J. R. Dudeney
A00224,Mike Pinnock
A00225,T. B. Jones
A00226,E. C. Thomas
A00227,J. -P. Villain
A00228,Jean-Claude Cerisier
A00229,C. Senior
A00230,R. D. Hunsucker
A00231,George Sofko
A00232,R. Pellinen
A00233,Anthony D. M. Walker
A00234,Natsuo Sato
A00235,Hisao Yamagishi
A00236,Ray Greenwald
A00237,William Bristow
A00238,I.F. Grant
A00239,J.W. MacDougall
A00240,J.M. Ruohoniemi
A00241,W.A. Bristow
A00242,D. Danskin
A00243,M.A. Abdu
A00244,I.S. Batista
A00245,G.O. Walker
A00246,J.H.A. Sobral
A00247,N.B. Trivedi
A00248,E.R. de Paula
A00249,J Domysławska
A00250,James A. Whiteway
A00251,Allan I. Carswell
A00252,Hideaki Nakajima
A00253,Shoichi Okano
A00254,Hiroshi Fukunishi
A00255,Takayuki Ono
A00256,S. Brym
A00257,J. Jurkowski
A00258,A. R. Hildebrand
A00259,M. Pilkington
A00260,M. Connors
A00261,C. Ortiz-Aleman
A00262,R. E. Chavez
A00263,Sylvain Veilleux
A00264,T. K. Yeoman
A00265,J. A. Davies
A00266,Kunio Kazami Uehara
A00267,Hisashi Kado Hisashi Kado
A00268,Kunio Kazami Kunio Kazami
A00269,Jun Kawai Jun Kawai
A00270,Gen Uehara Gen Uehara
A00271,W.E Ward
A00272,V.I Fomichev
A00273,A. V. Mikhailov
A00274,M. Förster
A00275,T. Y. Leschinskaya
A00276,S. Brown
A00277,A. Moise
A00278,D. Liang
A00279,G. Sellar
A00280,J. Wimperis
A00281,V. I. Fomichev
A00282,P.V.S. Rama Rao
A00283,P. Sri Ram
A00284,P.T. Jayachandran
A00285,D.S.V.V.D. Prasad
A00286,D. Y. Wang
A00287,B. H. Solheim
A00288,E. Bava
A00289,F. Massari
A00290,D. P. Steele
A00291,L. L. Cogger
A00292,Akira Kadokura
A00293,Masaki Ejiri
A00294,Takasi Oguti
A00295,Neil Rowlands
A00296,Gary J. Buttner
A00297,A. Raab
A00298,Mark W. Cann
A00299,S. Dobbie
A00300,Stoyan I. Sargoytchev
A00301,Reza Mani
A00302,David W. Tarasick
A00303,N.J. Fox
A00304,V.N. Davda
A00305,G. Enno
A00306,R.A. Greenwald
A00307,M. Hairston
A00308,M.G. Kivelson
A00309,J.S. Murphree
A00310,S. M. Petrinec
A00311,K. Yumoto
A00312,D. Milling
A00313,K. Hayashi
A00314,S. Kokubun
A00315,T. Araki
A00316,V Singh
A00317,I.C McDade
A00318,G.G Shepherd
A00319,B.H Solheim
A00320,V. Singh
A00321,I. C. McDade
A00322,K. Kauristie
A00323,T. I. Pulkkinen
A00324,R. J. Pellinen
A00325,H. J. Opgenoorth
A00326,R. D. Elphinstone
A00327,Alan R. Hildebrand
A00328,Mark Pilkington
A00329,Carlos Ortiz-Aleman
A00330,Rene E. Chavez
A00331,Jaime Urrutia-Fucugauchi
A00332,Eduardo Graniel-Castro
A00333,Alfredo Camara-Zi
A00334,Juan Vasquez
A00335,John F. Halpenny
A00336,C. W. S. Ziesolleck
A00337,Q. Feng
A00338,S. E. Palo
A00339,M. E. Hagan
A00340,C. E. Meek
A00341,R. A. Vincent
A00342,M. D. Burrage
A00343,S. J. Franke
A00344,R. R. Clark
A00345,P. Hoffmann
A00346,R. Johnson
A00347,D. Kürschner
A00348,A. H. Manson
A00349,D. Murphy
A00350,T. Nakamura
A00351,Y. I. Portnyagin
A00352,J. E. Salah
A00353,R. Schminder
A00354,W. Singer
A00355,T. Tsuda
A00356,T. S. Virdi
A00357,Q. Zhou
A00358,S. Fujitani
A00359,M. Emoto
A00360,K. Shiokawa
A00361,T. Ichinose
