paper_id,author_id,author_order
P00001,A00001,1
P00002,A00002,1
P00002,A00003,2
P00002,A00004,3
P00002,A00005,4
P00002,A00006,5
P00002,A00007,6
P00003,A00008,1
P00003,A00009,2
P00003,A00010,3
P00003,A00011,4
P00003,A00012,5
P00004,A00013,1
P00004,A00014,2
P00004,A00015,3
P00005,A00016,1
P00005,A00017,2
P00005,A00018,3
P00006,A00019,1
P00006,A00020,2
P00006,A00021,3
P00007,A00014,1
P00007,A00022,2
P00007,A00023,3
P00007,A00024,4
P00008,A00025,1
P00008,A00026,2
P00008,A00027,3
P00009,A00028,1
P00009,A00029,2
P00010,A00030,1
P00010,A00031,2
P00010,A00032,3
P00010,A00033,4
P00011,A00034,1
P00011,A00035,2
P00011,A00008,3
P00012,A00023,1
P00012,A00025,2
P00012,A00026,3
P00013,A00036,1
P00013,A00037,2
P00013,A00038,3
P00014,A00039,1
P00014,A00032,2
P00014,A00040,3
P00014,A00041,4
P00015,A00042,1
P00015,A00043,2
P00015,A00044,3
P00015,A00045,4
P00015,A00046,5
P00016,A00041,1
P00016,A00047,2
P00016,A00048,3
P00016,A00039,4
P00017,A00049,1
P00017,A00050,2
P00017,A00008,3
P00018,A00023,1
P00018,A00051,2
P00018,A00026,3
P00018,A00025,4
P00018,A00052,5
P00019,A00053,1
P00019,A00054,2
P00019,A00055,3
P00020,A00049,1
P00020,A00050,2
P00020,A00008,3
P00021,A00056,1
P00021,A00008,2
P00021,A00049,3
P00021,A00009,4
P00021,A00057,5
P00022,A00008,1
P00023,A00058,1
P00023,A00059,2
P00023,A00008,3
P00023,A00060,4
P00024,A00061,1
P00024,A00062,2
P00024,A00063,3
P00025,A00014,1
P00025,A00064,2
P00025,A00065,3
P00025,A00022,4
P00025,A00049,5
P00026,A00066,1
P00026,A00067,2
P00027,A00023,1
P00027,A00051,2
P00027,A00009,3
P00027,A00008,4
P00027,A00057,5
P00028,A00025,1
P00028,A00026,2
P00028,A00068,3
P00028,A00069,4
P00028,A00070,5
P00028,A00051,6
P00028,A00023,7
P00028,A00065,8
P00028,A00071,9
P00029,A00072,1
P00029,A00073,2
P00029,A00074,3
P00030,A00066,1
P00030,A00067,2
P00030,A00063,3
P00030,A00075,4
P00031,A00066,1
P00031,A00076,2
P00031,A00063,3
P00032,A00077,1
P00032,A00078,2
P00032,A00079,3
P00032,A00080,4
P00033,A00078,1
P00033,A00079,2
P00033,A00081,3
P00033,A00080,4
P00033,A00082,5
P00034,A00062,1
P00034,A00063,2
P00034,A00061,3
P00034,A00083,4
P00035,A00084,1
P00035,A00085,2
P00035,A00072,3
P00036,A00086,1
P00036,A00087,2
P00037,A00088,1
P00037,A00089,2
P00037,A00004,3
P00037,A00005,4
P00037,A00052,5
P00037,A00090,6
P00037,A00091,7
P00037,A00002,8
P00037,A00003,9
P00037,A00092,10
P00037,A00093,11
P00038,A00094,1
P00039,A00095,1
P00039,A00067,2
P00039,A00076,3
P00039,A00063,4
P00040,A00096,1
P00040,A00097,2
P00040,A00098,3
P00040,A00099,4
P00041,A00049,1
P00041,A00100,2
P00041,A00101,3
P00041,A00026,4
P00041,A00025,5
P00041,A00102,6
P00042,A00066,1
P00042,A00103,2
P00042,A00067,3
P00042,A00104,4
P00043,A00105,1
