paper_id,instrument_id,status,evidence_quote,checked_date,notes
P04682,I00007,verified_false,,2026-06-18T17:35:54,
P02099,I00007,verified_true,,2026-06-18T14:56:35,
P04444,I00002,unsure,,2026-06-18T17:37:11,
P00490,I00001,verified_false,,2026-06-18T17:38:07,
P04434,I00005,verified_true,,2026-06-26T21:57:58,
P04557,I00006,verified_true,,2026-06-29T16:22:17,
P04557,I00005,verified_true,,2026-06-29T16:22:17,
P01948,I00005,verified_true,,2026-06-29T16:23:25,
P01095,I00005,verified_false,not go canada radars,2026-06-18T15:01:17,
P01254,I00002,verified_false,,2026-06-18T17:39:49,
P02634,I00002,verified_true,carisma and chain,2026-06-18T17:40:58,
P02634,I00007,verified_true,,2026-06-18T17:40:58,
P04434,I00002,verified_true,,2026-06-26T21:57:58,
P01095,I00010,verified_false,not themis asi,2026-06-18T15:01:17,
P04958,I00002,verified_true,,2026-06-29T16:29:31,
P00115,I00002,verified_false,,2026-06-17T20:54:05,
P01375,I00002,unsure,paywall,2026-06-17T21:01:23,
P01471,I00005,verified_true,,2026-06-17T20:56:26,
P01646,I00007,verified_false,,2026-06-17T20:58:27,
P02483,I00010,verified_false,,2026-06-17T21:03:39,
P01527,I00001,verified_false,no data used,2026-06-18T15:03:43,
P04915,I00006,verified_false,,2026-06-18T17:41:52,
P05106,I00007,verified_false,Only talks about CHAIM,2026-06-26T22:00:08,
P02285,I00005,verified_false,only uses Hokkaido,2026-06-17T21:05:45,
P01920,I00007,verified_false,not go canada,2026-06-18T15:05:26,
P04237,I00007,verified_false,,2026-06-18T17:43:14,
P04958,I00010,verified_true,,2026-06-29T16:29:31,
P04237,I00006,verified_false,,2026-06-18T17:43:14,
P04114,I00007,verified_false,only talks about CHAIN,2026-06-17T21:07:58,
P04647,I00002,verified_true,,2026-06-26T21:05:24,
P04647,I00007,verified_true,,2026-06-26T21:05:24,
P02982,I00002,verified_true,,2026-06-26T22:01:53,
P01767,I00002,verified_false,does not use any data,2026-06-17T21:09:49,
P01670,I00002,verified_true,uses chain,2026-06-18T15:07:05,
P01923,I00002,verified_true,uses chain,2026-06-18T16:47:56,
P04727,I00001,verified_false,,2026-06-18T17:44:20,
P02561,I00001,verified_false,,2026-06-26T21:04:39,
P04647,I00011,verified_true,,2026-06-26T21:05:24,
P04578,I00007,verified_true,uses chain,2026-06-17T21:10:51,
P01963,I00007,verified_false,,2026-06-18T15:08:35,
P01923,I00007,verified_true,,2026-06-18T16:47:56,
P04952,I00010,verified_true,,2026-06-18T18:14:51,
P04896,I00002,verified_true,,2026-06-29T14:29:33,
P04896,I00007,verified_true,,2026-06-29T14:29:33,
P04896,I00001,verified_true,,2026-06-29T14:29:33,
P04896,I00005,verified_true,,2026-06-29T14:29:33,
P04541,I00012,verified_false,,2026-06-17T21:13:14,
P02457,I00007,unsure,,2026-06-18T15:09:52,
P01845,I00002,verified_true,carisma,2026-06-18T16:50:26,
P04944,I00007,verified_false,,2026-06-26T21:09:31,
P01265,I00002,verified_true,uses carisma,2026-06-26T21:11:02,
P01216,I00005,verified_true,uses SAS,2026-06-17T21:14:39,
P01846,I00007,verified_false,talks about chain but does not use it,2026-06-18T15:11:31,
P01845,I00001,verified_true,,2026-06-18T16:50:26,
P01258,I00010,verified_false,not asi,2026-06-18T18:17:59,
P02325,I00002,verified_true,uses CHAIN,2026-06-29T15:03:46,
P02325,I00011,verified_true,,2026-06-29T15:03:46,
P02325,I00007,verified_true,,2026-06-29T15:03:46,
P02325,I00006,verified_true,,2026-06-29T15:03:46,
P03967,I00002,verified_true,,2026-06-17T21:16:13,
P00817,I00002,verified_false,cadi only does not count as go canada,2026-06-18T15:15:45,
P01634,I00005,verified_true,,2026-06-18T16:59:13,
P04864,I00007,verified_false,,2026-06-18T18:19:18,
P04828,I00009,verified_true,CARISMA AND GO RIO,2026-06-29T15:08:48,
P01327,I00002,verified_true,,2026-06-29T16:37:41,
P03967,I00010,verified_true,,2026-06-17T21:16:13,
P00817,I00006,verified_false,cadi only does not count as go canada,2026-06-18T15:15:45,
P02790,I00007,verified_false,,2026-06-18T18:20:47,
P01707,I00001,verified_true,,2026-06-29T15:10:21,
P01707,I00010,verified_true,,2026-06-29T15:10:21,
P01327,I00010,verified_true,,2026-06-29T16:37:41,
P04355,I00012,verified_false,,2026-06-17T21:17:02,
P00196,I00002,verified_false,,2026-06-18T18:23:58,
P04474,I00007,verified_true,,2026-06-18T18:24:51,
P00459,I00002,verified_true,,2026-06-29T16:41:48,
P01690,I00002,verified_false,,2026-06-17T21:18:30,
P01533,I00005,verified_false,not the go canadian radars,2026-06-18T15:17:26,
P00870,I00002,verified_false,,2026-06-18T17:02:09,
P04474,I00002,verified_true,,2026-06-18T18:24:51,
P04258,I00001,verified_false,,2026-06-17T21:19:14,
P01279,I00007,verified_false,,2026-06-18T17:06:53,
P00779,I00002,verified_false,,2026-06-18T18:25:50,
P01536,I00005,verified_true,uses PGR radar,2026-06-18T15:19:46,
P01581,I00005,verified_true,,2026-06-18T18:26:45,
P01203,I00003,verified_true,,2026-06-09T10:20:22,transferred_from_main_by_doi_and_instrument_mapping
P00459,I00001,verified_true,,2026-06-29T16:41:48,
P03264,I00005,verified_false,only uses CUTLASS,2026-07-13T14:22:28,
