author_id,author_name
A00001,F. R. Fenrich
A00002,C. L. Waters
A00003,M. Connors
A00004,C. Bredeson
A00005,J. R. Lawrence
A00006,D. R. Korber
A00007,T. R. Neu
A00008,C. S. L. Grimaldi
A00009,I. Coviello
A00010,T. Lacava
A00011,N. Pergola
A00012,V. Tramutoli
A00013,Jian Feng Pu
A00014,Jun Lin
A00015,Yan Zhi Li
A00016,Wei Quan
A00017,Alvaro J. Ribeiro
A00018,J. M. Ruohoniemi
A00019,Pavlo V. Ponomarenko
A00020,Lasse Boy Novock Clausen
A00021,Joseph Benjamin Harold Baker
A00022,R. A. Greenwald
A00023,Kjellmar Oksavik
A00024,Sebastien De Larquier
A00025,G. Scoular
A00026,J. P. St.-Maurice
A00027,D. M. Miles
A00028,J. R. Bennest
A00029,I. R. Mann
A00030,D. K. Millling
A00031,Gareth Chisham
A00032,Mervyn. P. Freeman
A00033,Kathy Cresswell‐Moorcock
A00034,Craig J. Rodger
A00035,Antti Kero
A00036,Andrew B. Collier
A00037,Mark A. Clilverd
A00038,Ingemar Häggström
A00039,Timo Pitkänen
A00040,Vi Dinh Lu
A00041,Quy Minh Nguyen
A00042,Lan Cao Mai
A00043,Dao Xuan Tran
A00044,Hung Q. Nguyen
A00045,Jim S. Whittington
A00046,John C. Devlin
A00047,Ha L. Vu
A00048,Ngoc-Vinh Vu
A00049,Eddie Custovic
A00050,Paul Prikryl
A00051,Yongliang Zhang
A00052,Yusuke Ebihara
A00053,Reza Ghoddousi-Fard
A00054,Periyadan T. Jayachandran
A00055,Joe Kinrade
A00056,Cathryn N. Mitchell
A00057,Allan T. Weatherwax
A00058,Gary Bust
A00059,Pierre J. Cilliers
A00060,Luca Spogli
A00061,Lucilla Alfonsi
A00062,Vincenzo Romano
A00063,Baiqi Ning
A00064,Guozhu Li
A00065,Martin J. Jarvis
A00066,Donald W. Danskin
A00067,Emma Spanswick
A00068,Eric Donovan
A00069,Mike Terkildsen
A00070,William. A. Bristow
A00071,Jeffery Spaleta
A00072,Octav Marghitu
A00073,L. R. Lyons
A00074,Y. Nishimura
A00075,X. Xing
A00076,Y. Shi
A00077,M. Gkioulidou
A00078,C.-P. Wang
A00079,H.-J. Kim
A00080,S. Zou
A00081,V. Angelopoulos
A00082,E. Donovan
A00083,S.-I. Akasofu
A00084,T. I. Pulkkinen
A00085,R. J. Pellinen
A00086,H. E. J. Koskinen
A00087,H. J. Opgenoorth
A00088,J. S. Murphree
A00089,V. Petrov
A00090,A. Zaitzev
A00091,E. Friis-Christensen
A00092,A. Keiling
A00093,K. Shiokawa
A00094,V. Uritsky
A00095,V. Sergeev
A00096,E. Zesta
A00097,L. Kepko
A00098,N. Østgaard
A00099,M. G. Henderson
A00100,Xiaoyan Xing
A00101,Jun Liang
A00102,Larry Lyons
A00103,Vassilis Angelopoulos
A00104,S. K. Kristoffersen
A00105,W. E. Ward
A00106,S. Brown
A00107,J. R. Drummond
A00108,P.J. Cilliers
A00109,D Agaba
A00110,M. Inggs
A00111,R. van Zyl
A00112,A. Grocott
A00113,K. Hosokawa
A00114,T. Ishida
A00115,M. Lester
A00116,S. E. Milan
A00117,M. P. Freeman
A00118,N. Sato
A00119,A. S. Yukimatu
A00120,Marco Giardino
A00121,Luigi Perotti
A00122,Marco Bacenetti
A00123,Paolo Zamparutti
A00124,I. Jonathan Rae
A00125,Kyle R. Murphy
A00126,David M. Miles
A00127,Clare E. J. Watt
A00128,Ian. R. Mann
A00129,Natalia Buzulukova
A00130,M.-C. Fok
A00131,E. Roelof
A00132,J. Redfern
A00133,Jerry Goldstein
A00134,Phil Valek
A00135,D. McComas
A00136,Brian D. Metzger
A00137,David L. Kaplan
A00138,Edo Berger
A00139,Rengui Ruan
A00140,Xianbing Wu
A00141,Laiping Feng
A00142,Hasan Bahcivan
A00143,Michael J. Nicolls
A00144,Gareth Perry
A00145,Z. H. Yao
A00146,Z. Y. Pu
A00147,S. Y. Fu
A00148,M. Kubyshkina
A00149,J. Liu
A00150,X. N. Chu
A00151,T. Nishimura
A00152,X. Cao
A00153,A. M. Du
A00154,C. Yue
A00155,Q. Q. Shi
A00156,Y. Wei
A00157,Chao Yue
A00158,Yukitoshi Nishimura
A00159,Larry R. Lyons
A00160,Eric F. Donovan
A00161,Quanqi Shi
A00162,Zhonghua Yao
A00163,John W. Bonnell
A00164,Z.H. Zhu
A00165,R.A. De Vries
A00166,M.J. Bentunv
A00167,M.F. Brethouwer
A00168,R. Grootjans
A00169,S.K. Van Langen
A00170,David Russel Themens
A00171,Richard B. Langley
A00172,John W. MacDougall
A00173,Hikmet Yigit
A00174,Guray Yilmaz
A00175,Qing-He Zhang
A00176,Bei-Chen Zhang
A00177,Michael Lockwood
A00178,Hong-Qiao Hu
A00179,Jøran Moen
A00180,J. Michael Ruohoniemi
A00181,Evan G. Thomas
A00182,Shun-Rong Zhang
A00183,Hui-Gen Yang
A00184,Rui-Yuan Liu
A00185,Kathryn A. McWilliams
A00186,A. J. Coster
A00187,John C. Foster
A00188,Philip J. Erickson
A00189,E.-A. Lee
A00190,Seth G. Claudepierre
A00191,J. F. Fennell
A00192,Alex Degeling
A00193,Daniel N. Baker
A00194,G. D. Reeves
A00195,Harlan E. Spence
A00196,Louis G. Ozeke
A00197,Robert Rankin
A00198,David K. Milling
A00199,Andy Kale
A00200,Reinhard H. W. Friedel
A00201,Farideh Honary
A00202,M.K. James
