paper_id,author_id,author_order
P00005,A00017,1
P00005,A00018,2
P00005,A00019,3
P00005,A00020,4
P00005,A00021,5
P00005,A00022,6
P00005,A00023,7
P00005,A00024,8
P00006,A00019,2
P00006,A00025,1
P00006,A00026,3
P00007,A00027,1
P00007,A00028,2
P00007,A00029,3
P00007,A00030,4
P00008,A00017,1
P00008,A00018,3
P00008,A00019,2
P00008,A00020,5
P00008,A00021,4
P00008,A00022,6
P00008,A00024,7
P00009,A00031,1
P00009,A00032,2
P00010,A00033,1
P00010,A00034,2
P00010,A00035,3
P00010,A00036,4
P00010,A00037,5
P00010,A00038,6
P00010,A00039,7
P00011,A00040,1
P00011,A00041,2
P00011,A00042,3
P00011,A00043,4
P00012,A00044,1
P00012,A00045,2
P00012,A00046,3
P00012,A00047,4
P00012,A00048,5
P00012,A00049,6
P00013,A00050,1
P00013,A00051,2
P00013,A00052,3
P00013,A00053,4
P00013,A00054,5
P00013,A00055,6
P00013,A00056,7
P00013,A00057,8
P00013,A00058,9
P00013,A00059,10
P00013,A00060,11
P00013,A00061,12
P00013,A00062,13
P00013,A00063,14
P00013,A00064,15
P00013,A00065,16
P00013,A00066,17
P00013,A00067,18
P00013,A00068,19
P00013,A00069,20
P00014,A00070,1
P00014,A00071,2
P00015,A00072,1
P00016,A00073,1
P00016,A00074,2
P00016,A00075,3
P00016,A00076,4
P00016,A00077,5
P00016,A00078,6
P00016,A00079,7
P00016,A00080,8
P00016,A00081,9
P00016,A00082,10
P00017,A00083,1
P00018,A00084,1
P00018,A00085,2
P00018,A00086,3
P00018,A00087,4
P00018,A00088,5
P00018,A00089,6
P00018,A00090,7
P00018,A00091,8
P00019,A00092,1
P00019,A00093,2
P00019,A00094,3
P00019,A00095,4
P00019,A00096,5
P00019,A00097,6
P00019,A00098,7
P00020,A00099,1
P00021,A00067,3
P00021,A00100,1
P00021,A00101,2
P00021,A00102,4
P00021,A00103,5
P00022,A00104,1
P00022,A00105,2
P00022,A00106,3
P00022,A00107,4
P00023,A00108,1
P00023,A00109,2
P00023,A00110,3
P00023,A00111,4
P00024,A00112,1
P00024,A00113,2
P00024,A00114,3
P00024,A00115,4
P00024,A00116,5
P00024,A00117,6
P00024,A00118,7
P00024,A00119,8
P00025,A00120,1
P00025,A00121,2
P00025,A00122,3
P00025,A00123,4
P00026,A00124,1
P00026,A00125,2
P00026,A00126,3
P00026,A00127,4
P00026,A00128,5
P00027,A00129,1
P00027,A00130,2
P00027,A00131,3
P00027,A00132,4
P00027,A00133,5
P00027,A00134,6
P00027,A00135,7
P00028,A00136,1
P00028,A00137,2
P00028,A00138,3
P00029,A00139,1
P00029,A00140,2
P00029,A00141,3
P00030,A00142,1
P00030,A00143,2
P00030,A00144,3
P00031,A00081,2
P00031,A00145,1
P00031,A00146,3
P00031,A00147,4
P00031,A00148,5
P00031,A00149,6
P00031,A00150,7
P00031,A00151,8
P00031,A00152,9
P00031,A00153,10
P00031,A00154,11
P00031,A00155,12
P00031,A00156,13
P00032,A00103,4
P00032,A00157,1
P00032,A00158,2
P00032,A00159,3
P00032,A00160,5
P00032,A00161,6
P00032,A00162,7
P00032,A00163,8
P00033,A00164,1
P00034,A00165,1
P00034,A00166,2
P00034,A00167,3
P00034,A00168,4
P00034,A00169,5
P00035,A00054,2
P00035,A00143,5
P00035,A00170,1
P00035,A00171,3
P00035,A00172,4
P00036,A00173,1
P00036,A00174,2
P00037,A00021,12
P00037,A00175,1
P00037,A00176,2
P00037,A00177,3
P00037,A00178,4
P00037,A00179,5
P00037,A00180,6
P00037,A00181,7
P00037,A00182,8
P00037,A00183,9
P00037,A00184,10
P00037,A00185,11
P00038,A00018,3
P00038,A00020,4
P00038,A00021,2
P00038,A00181,1
P00038,A00186,5
P00038,A00187,6
P00038,A00188,7
P00039,A00124,6
P00039,A00128,1
P00039,A00189,2
P00039,A00190,3
P00039,A00191,4
P00039,A00192,5
P00039,A00193,7
P00039,A00194,8
P00039,A00195,9
P00039,A00196,10
P00039,A00197,11
P00039,A00198,12
P00039,A00199,13
P00039,A00200,14
P00039,A00201,15
P00040,A00068,3
P00040,A00073,1
P00040,A00081,4
P00040,A00158,2
P00041,A00202,1
P00041,A00203,2
P00041,A00204,3
P00041,A00205,4
P00042,A00113,3
P00042,A00206,1
P00042,A00207,2
P00042,A00208,4
P00042,A00209,5
P00042,A00210,6
P00043,A00143,3
P00043,A00159,7
P00043,A00160,8
P00043,A00211,1
P00043,A00212,2
P00043,A00213,4
P00043,A00214,5
P00043,A00215,6
P00044,A00024,3
P00044,A00046,6
P00044,A00216,1
P00044,A00217,2
P00044,A00218,4
P00044,A00219,5
P00045,A00220,1
P00045,A00221,2
P00045,A00222,3
P00046,A00034,3
P00046,A00037,1
P00046,A00223,2
P00046,A00224,4
P00046,A00225,5
P00046,A00226,6
P00046,A00227,7
P00046,A00228,8
P00046,A00229,9
P00046,A00230,10
P00047,A00231,1
P00047,A00232,2
P00047,A00233,3
P00048,A00234,1
P00048,A00235,2
P00048,A00236,3
P00048,A00237,4
P00049,A00238,1
P00049,A00239,2
P00049,A00240,3
P00049,A00241,4
P00050,A00242,1
P00050,A00243,2
P00050,A00244,3
P00050,A00245,4
P00050,A00246,5
P00051,A00231,1
P00051,A00247,2
P00051,A00248,3
P00051,A00249,4
P00052,A00050,2
P00052,A00053,1
P00052,A00250,3
P00053,A00050,1
P00053,A00053,2
P00053,A00054,6
P00053,A00066,8
P00053,A00067,7
P00053,A00181,4
P00053,A00186,5
P00053,A00251,3
P00054,A00252,1
P00054,A00253,2
P00054,A00254,3
P00054,A00255,4
P00054,A00256,5
P00054,A00257,6
P00055,A00258,1
P00055,A00259,2
P00055,A00260,3
P00055,A00261,4
P00055,A00262,5
P00055,A00263,6
P00055,A00264,7
P00055,A00265,8
P00055,A00266,9
P00055,A00267,10
P00055,A00268,11
P00055,A00269,12
P00055,A00270,13
P00055,A00271,14
P00055,A00272,15
P00056,A00073,2
P00056,A00081,4
P00056,A00100,3
P00056,A00158,1
P00056,A00160,5
P00056,A00163,7
P00056,A00273,6
P00056,A00274,8
P00057,A00275,1
P00057,A00276,2
P00057,A00277,3
P00057,A00278,4
P00058,A00217,3
P00058,A00218,1
P00058,A00279,2
P00058,A00280,4
P00058,A00281,5
P00058,A00282,6
P00058,A00283,7
P00058,A00284,8
P00059,A00285,1
P00059,A00286,2
P00059,A00287,3
P00059,A00288,4
P00059,A00289,5
P00059,A00290,6
P00060,A00291,1
P00060,A00292,2
P00060,A00293,3
P00060,A00294,4
P00061,A00295,1
P00061,A00296,2
P00061,A00297,3
P00061,A00298,4
P00062,A00018,6
P00062,A00299,1
P00062,A00300,2
P00062,A00301,3
P00062,A00302,4
P00062,A00303,5
P00062,A00304,7
P00062,A00305,8
P00062,A00306,9
P00063,A00307,1
P00063,A00308,2
P00063,A00309,3
P00063,A00310,4
P00063,A00311,5
P00063,A00312,6
P00064,A00081,8
P00064,A00313,1
P00064,A00314,2
P00064,A00315,3
P00064,A00316,4
P00064,A00317,5
P00064,A00318,6
P00064,A00319,7
P00064,A00320,9
P00064,A00321,10
P00065,A00322,1
P00065,A00323,2
P00065,A00324,3
P00066,A00325,1
P00066,A00326,2
P00066,A00327,3
P00066,A00328,4
P00066,A00329,5
P00066,A00330,6
P00067,A00113,1
P00067,A00115,3
P00067,A00116,2
P00067,A00118,5
P00067,A00331,4
P00067,A00332,6
P00068,A00333,1
P00068,A00334,2
P00069,A00335,1
P00069,A00336,2
P00069,A00337,3
P00069,A00338,4
P00069,A00339,5
P00070,A00340,1
P00070,A00341,2
P00070,A00342,3
P00070,A00343,4
P00071,A00344,1
P00071,A00345,2
P00071,A00346,3
P00072,A00347,1
P00072,A00348,2
P00072,A00349,3
P00073,A00350,1
P00073,A00351,2
P00073,A00352,3
P00073,A00353,4
P00074,A00354,1
P00074,A00355,2
P00074,A00356,3
P00074,A00357,4
P00075,A00358,1
P00075,A00359,2
P00075,A00360,3
P00075,A00361,4
P00075,A00362,5
P00075,A00363,6
P00075,A00364,7
P00075,A00365,8
P00075,A00366,9
P00075,A00367,10
P00075,A00368,11
P00075,A00369,12
P00075,A00370,13
P00075,A00371,14
P00075,A00372,15
P00076,A00143,4
P00076,A00180,7
P00076,A00181,6
P00076,A00211,1
P00076,A00212,3
P00076,A00213,2
P00076,A00214,5
P00077,A00081,4
P00077,A00082,2
P00077,A00101,1
P00077,A00373,3
P00078,A00103,3
P00078,A00247,1
P00078,A00374,2
P00078,A00375,4
P00078,A00376,5
P00079,A00158,3
P00079,A00159,2
P00079,A00211,1
P00080,A00046,6
P00080,A00216,2
P00080,A00217,3
P00080,A00218,1
P00080,A00219,5
P00080,A00377,4
P00081,A00247,2
P00081,A00378,1
P00082,A00081,2
P00082,A00149,1
P00082,A00379,3
P00082,A00380,4
P00083,A00112,3
P00083,A00381,1
P00083,A00382,2
P00083,A00383,4
P00083,A00384,5
P00083,A00385,6
P00083,A00386,7
P00083,A00387,8
P00084,A00017,3
P00084,A00018,4
P00084,A00021,5
P00084,A00024,1
P00084,A00388,2
P00084,A00389,6
P00084,A00390,7
P00085,A00081,2
P00085,A00128,6
P00085,A00374,4
P00085,A00391,1
P00085,A00392,3
P00085,A00393,5
P00085,A00394,7
P00085,A00395,8
P00086,A00396,1
