paper_id,instrument_id,instrument_status
P00001,I00001,uses
P00002,I00002,uses
P00003,I00001,uses
P00004,I00001,uses
P00005,I00003,uses
P00005,I00004,uses
P00005,I00001,uses
P00006,I00005,uses
P00006,I00003,uses
P00006,I00004,uses
P00006,I00001,uses
P00007,I00005,uses
P00008,I00003,uses
P00008,I00004,uses
P00008,I00001,uses
P00009,I00001,uses
P00010,I00006,uses
P00011,I00001,uses
P00012,I00001,uses
P00013,I00005,uses
P00013,I00007,uses
P00013,I00008,uses
P00014,I00001,uses
P00015,I00006,uses
P00016,I00006,uses
P00017,I00006,uses
P00018,I00008,uses
P00019,I00006,uses
P00020,I00006,uses
P00021,I00006,uses
P00022,I00009,uses
P00023,I00001,uses
P00024,I00001,uses
P00025,I00001,uses
P00026,I00005,uses
P00027,I00006,uses
P00028,I00002,uses
P00029,I00001,uses
P00030,I00003,uses
P00030,I00004,uses
P00030,I00001,uses
P00031,I00006,uses
P00032,I00006,uses
P00033,I00003,uses
P00033,I00001,uses
P00034,I00001,uses
P00035,I00007,uses
P00035,I00001,uses
P00036,I00001,uses
P00037,I00003,uses
P00038,I00003,uses
P00038,I00001,uses
P00039,I00005,uses
P00040,I00005,uses
P00040,I00006,uses
P00041,I00003,uses
P00041,I00004,uses
P00041,I00001,uses
P00042,I00001,uses
P00043,I00006,uses
P00044,I00001,uses
P00045,I00005,uses
P00046,I00008,uses
P00047,I00005,uses
P00048,I00009,uses
P00049,I00001,uses
P00050,I00007,uses
P00051,I00005,uses
P00052,I00007,uses
P00053,I00007,uses
P00053,I00008,uses
P00053,I00003,uses
P00053,I00004,uses
P00054,I00001,uses
P00055,I00001,uses
P00056,I00006,uses
P00057,I00005,uses
P00058,I00001,uses
P00059,I00001,uses
P00060,I00007,uses
P00061,I00001,uses
P00062,I00001,uses
P00063,I00001,uses
P00064,I00005,uses
P00064,I00006,uses
P00065,I00001,uses
P00066,I00006,uses
P00067,I00001,uses
P00068,I00005,uses
P00069,I00005,uses
P00070,I00001,uses
P00071,I00001,uses
P00072,I00001,uses
P00073,I00001,uses
P00074,I00001,uses
P00075,I00005,uses
P00075,I00001,uses
P00076,I00001,uses
P00077,I00006,uses
P00078,I00005,uses
P00079,I00001,uses
P00079,I00006,uses
P00080,I00001,uses
P00081,I00005,uses
P00082,I00006,uses
P00083,I00001,uses
P00084,I00003,uses
P00084,I00004,uses
P00084,I00001,uses
P00085,I00005,uses
P00085,I00006,uses
P00086,I00003,uses
P00087,I00001,uses
P00088,I00003,uses
P00089,I00006,uses
P00090,I00001,uses
P00091,I00001,uses
P00092,I00005,uses
P00093,I00001,uses
P00094,I00003,uses
P00094,I00004,uses
P00094,I00001,uses
P00095,I00005,uses
P00096,I00007,uses
P00097,I00001,uses
P00098,I00010,uses
P00098,I00006,uses
P00099,I00006,uses
P00100,I00001,uses
P00101,I00006,uses
P00102,I00001,uses
P00103,I00001,uses
P00104,I00008,uses
P00105,I00005,uses
P00106,I00005,uses
P00107,I00005,uses
P00108,I00006,uses
P00109,I00001,uses
P00110,I00001,uses
P00111,I00010,uses
P00112,I00001,uses
P00113,I00003,uses
P00113,I00001,uses
P00114,I00005,uses
P00115,I00001,uses
P00116,I00005,uses
P00117,I00007,uses
P00118,I00005,uses
P00119,I00006,uses
P00120,I00003,uses
P00121,I00005,uses
P00122,I00006,uses
P00123,I00005,uses
P00123,I00008,uses
P00124,I00006,uses
P00125,I00001,uses
P00126,I00003,uses
P00126,I00004,uses
P00126,I00001,uses
P00127,I00007,uses
P00128,I00006,uses
P00129,I00010,uses
P00130,I00005,uses
P00131,I00005,uses
P00132,I00005,uses
P00133,I00001,uses
P00134,I00011,uses
P00135,I00003,uses
P00136,I00001,uses
P00137,I00005,uses
P00137,I00008,uses
P00138,I00010,uses
P00139,I00006,uses
P00140,I00006,uses
P00141,I00003,uses
P00142,I00001,uses
P00143,I00003,uses
P00144,I00001,uses
P00145,I00006,uses
P00146,I00005,uses
P00147,I00007,uses
P00148,I00005,uses
P00149,I00008,uses
P00150,I00003,uses
P00150,I00006,uses
P00151,I00001,uses
P00152,I00001,uses
P00153,I00001,uses
P00154,I00007,uses
P00155,I00001,uses
P00156,I00008,uses
P00157,I00001,uses
P00158,I00006,uses
P00159,I00007,uses
P00160,I00005,uses
P00161,I00007,uses
P00162,I00007,uses
P00163,I00001,uses
P00164,I00008,uses
P00164,I00001,uses
P00165,I00007,uses
P00166,I00001,uses
P00167,I00005,uses
P00168,I00007,uses
P00169,I00006,uses
P00170,I00006,uses
P00171,I00007,uses
P00172,I00007,uses
P00173,I00007,uses
P00174,I00005,uses
P00175,I00005,uses
P00176,I00006,uses
P00177,I00001,uses
P00178,I00005,uses
P00179,I00005,uses
P00180,I00006,uses
P00181,I00003,uses
P00181,I00004,uses
P00181,I00001,uses
P00181,I00006,uses
P00182,I00005,uses
P00183,I00003,uses
P00183,I00004,uses
P00183,I00001,uses
P00183,I00006,uses
P00184,I00008,uses
P00185,I00001,uses
P00186,I00008,uses
P00187,I00005,uses
P00188,I00007,uses
P00189,I00005,uses
P00190,I00006,uses
P00191,I00007,uses
P00191,I00003,uses
P00191,I00004,uses
P00191,I00001,uses
P00192,I00007,uses
P00193,I00006,uses
P00194,I00006,uses
P00195,I00003,uses
P00196,I00005,uses
P00197,I00007,uses
P00198,I00005,uses
P00198,I00003,uses
P00198,I00006,uses
P00199,I00001,uses
P00200,I00005,uses
P00201,I00002,uses
P00202,I00001,uses
P00203,I00001,uses
P00204,I00005,uses
P00205,I00001,uses
P00205,I00006,uses
P00206,I00003,uses
P00206,I00001,uses
P00207,I00003,uses
P00208,I00012,uses
P00208,I00008,uses
P00209,I00001,uses
P00210,I00001,uses
P00211,I00007,uses
P00211,I00008,uses
P00212,I00003,uses
P00212,I00004,uses
P00212,I00001,uses
P00213,I00001,uses
P00214,I00001,uses
P00215,I00005,uses
P00216,I00006,uses
P00217,I00005,uses
P00217,I00008,uses
P00217,I00006,uses
P00218,I00001,uses
P00219,I00001,uses
P00220,I00007,uses
P00221,I00001,uses
P00222,I00003,uses
P00222,I00004,uses
P00223,I00006,uses
P00224,I00003,uses
P00224,I00001,uses
P00225,I00001,uses
P00226,I00001,uses
P00227,I00001,uses
P00228,I00003,uses
P00228,I00004,uses
P00228,I00001,uses
P00228,I00006,uses
P00229,I00001,uses
P00230,I00001,uses
P00231,I00005,uses
P00232,I00007,uses
P00233,I00006,uses
P00234,I00005,uses
P00235,I00003,uses
P00236,I00007,uses
P00237,I00005,uses
P00238,I00001,uses
P00239,I00001,uses
P00240,I00008,uses
P00241,I00001,uses
P00242,I00001,uses
P00243,I00001,uses
P00244,I00001,uses
P00245,I00001,uses
P00246,I00007,uses
P00247,I00007,uses
P00247,I00006,uses
P00248,I00006,uses
P00249,I00001,uses
P00250,I00005,uses
P00251,I00007,uses
P00252,I00005,uses
P00253,I00001,uses
P00254,I00001,uses
P00255,I00007,uses
P00256,I00007,uses
P00256,I00001,uses
P00257,I00006,uses
P00258,I00006,uses
P00259,I00007,uses
P00260,I00001,uses
P00261,I00007,uses
P00261,I00003,uses
P00261,I00004,uses
P00261,I00001,uses
P00262,I00001,uses
P00263,I00001,uses
P00264,I00005,uses
P00265,I00005,uses
P00266,I00001,uses
P00267,I00001,uses
P00268,I00005,uses
P00269,I00001,uses
P00270,I00003,uses
P00270,I00004,uses
P00270,I00001,uses
P00270,I00006,uses
P00271,I00006,uses
P00272,I00001,uses
P00273,I00001,uses
P00274,I00005,uses
P00275,I00001,uses
P00276,I00005,uses
P00277,I00003,uses
P00277,I00001,uses
P00278,I00006,uses
P00279,I00006,uses
P00280,I00006,uses
P00281,I00008,uses
P00282,I00007,uses
P00283,I00007,uses
P00284,I00003,uses
P00284,I00004,uses
P00284,I00001,uses
P00285,I00012,uses
P00286,I00006,uses
P00287,I00006,uses
P00288,I00013,uses
P00289,I00001,uses
P00290,I00001,uses
P00291,I00005,uses
P00292,I00006,uses
P00293,I00005,uses
P00293,I00003,uses
P00293,I00006,uses
P00294,I00003,uses
P00294,I00004,uses
P00294,I00001,uses
P00295,I00005,uses
P00295,I00006,uses
P00296,I00001,uses
P00297,I00003,uses
P00297,I00004,uses
P00297,I00001,uses
P00298,I00001,uses
P00299,I00008,uses
P00300,I00006,uses
P00301,I00003,uses
P00301,I00004,uses
P00301,I00001,uses
P00302,I00006,uses
P00303,I00001,uses
P00304,I00003,uses
