instrument_id,instrument_name
I00001,AuroraMAX
I00002,REGO
I00003,SuperDARN_CA
I00004,SuperDARN
I00005,THEMIS ASI
I00006,Rainbow
I00007,AGO
I00008,RISR-C
I00009,TREx
I00010,FESO
I00011,CARISMA
I00012,GO STORM MSP
I00013,SEC/OTHER
I00014,Single Beam Riometer
I00015,TREx RGB
I00016,TREx Spectrograph
I00017,GO_RIO
I00018,CANOPUS
I00019,ABOVE
I00020,SWAN HSR
I00021,CHAIN
I00022,AUTUMNX
I00023,NASCAM
I00024,ECHAIM
I00025,ICEBEAR
I00026,ACHAIM
I00027,DNT
I00028,SMILE ASI
I00029,IRIS
