paper_id,author_id,author_order
P00001,A00001,1
P00001,A00002,2
P00001,A00003,3
P00001,A00004,4
P00001,A00005,5
P00002,A00006,1
P00002,A00007,2
P00002,A00008,3
P00002,A00009,4
P00002,A00010,5
P00002,A00011,6
P00003,A00012,1
P00003,A00013,2
P00003,A00014,3
P00004,A00015,1
P00004,A00009,2
P00004,A00016,3
P00004,A00017,4
P00004,A00018,5
P00005,A00019,1
P00005,A00020,2
P00005,A00009,3
P00005,A00016,4
P00005,A00021,5
P00005,A00017,6
P00006,A00015,1
P00006,A00022,2
P00006,A00009,3
P00006,A00023,4
P00006,A00020,5
P00007,A00024,1
P00007,A00025,2
P00007,A00026,3
P00007,A00027,4
P00007,A00028,5
P00007,A00029,6
P00007,A00030,7
P00008,A00031,1
P00008,A00032,2
P00008,A00033,3
P00008,A00034,4
P00009,A00035,1
P00009,A00036,2
P00009,A00037,3
P00009,A00038,4
P00010,A00001,1
P00010,A00039,2
P00010,A00040,3
P00010,A00041,4
P00010,A00042,5
P00010,A00043,6
P00010,A00044,7
P00010,A00045,8
P00010,A00046,9
P00010,A00026,10
P00010,A00047,11
P00010,A00048,12
P00010,A00049,13
P00010,A00050,14
P00010,A00051,15
P00010,A00052,16
P00010,A00053,17
P00011,A00054,1
P00011,A00055,2
P00011,A00056,3
P00011,A00015,4
P00011,A00057,5
P00011,A00058,6
P00011,A00059,7
P00011,A00060,8
P00011,A00061,9
P00011,A00062,10
P00011,A00063,11
P00011,A00064,12
P00011,A00065,13
P00011,A00017,14
P00011,A00066,15
P00011,A00067,16
P00012,A00068,1
P00012,A00069,2
P00012,A00070,3
P00013,A00071,1
P00013,A00072,2
P00014,A00073,1
P00014,A00074,2
P00014,A00075,3
P00014,A00076,4
P00014,A00077,5
P00014,A00078,6
P00015,A00079,1
P00017,A00015,1
P00017,A00009,2
P00017,A00080,3
P00017,A00081,4
P00017,A00082,5
P00017,A00083,6
P00018,A00019,1
P00018,A00020,2
P00018,A00084,3
P00018,A00085,4
P00018,A00009,5
P00019,A00046,1
P00019,A00049,2
P00019,A00041,3
P00019,A00045,4
P00019,A00086,5
P00019,A00040,6
P00019,A00087,7
P00019,A00088,8
P00019,A00089,9
P00019,A00090,10
P00019,A00091,11
P00019,A00092,12
P00019,A00093,13
P00019,A00094,14
P00019,A00095,15
