paper_id,source_id
P00001,S00001
P00002,S00001
P00003,S00001
P00004,S00001
P00005,S00001
P00006,S00001
P00007,S00001
P00008,S00001
P00009,S00001
P00010,S00001
P00011,S00001
P00012,S00001
P00013,S00001
P00014,S00001
P00015,S00001
P00016,S00001
P00017,S00001
P00018,S00001
P00019,S00001
P00020,S00001
P00021,S00001
P00022,S00001
P00023,S00001
P00024,S00001
P00025,S00001
P00026,S00001
P00027,S00001
P00028,S00001
P00029,S00001
P00030,S00001
P00031,S00001
P00032,S00001
P00033,S00001
P00034,S00001
P00035,S00001
P00036,S00001
P00037,S00001
P00038,S00001
P00039,S00001
P00040,S00001
P00041,S00001
P00042,S00001
P00043,S00001
P00044,S00001
P00045,S00001
P00046,S00001
P00047,S00001
P00048,S00001
P00049,S00001
P00050,S00001
P00051,S00001
P00052,S00001
P00053,S00001
P00054,S00001
P00055,S00001
P00056,S00001
P00057,S00001
P00058,S00001
P00059,S00001
P00060,S00001
P00061,S00001
P00062,S00001
P00063,S00001
P00064,S00001
P00065,S00001
P00066,S00001
P00067,S00001
P00068,S00001
P00069,S00001
P00070,S00001
P00071,S00001
P00072,S00001
P00073,S00001
P00074,S00001
P00075,S00001
P00076,S00001
P00077,S00001
P00078,S00001
P00079,S00001
P00080,S00001
P00081,S00001
P00082,S00001
P00083,S00001
P00084,S00001
P00085,S00001
P00086,S00001
P00087,S00001
P00088,S00001
P00089,S00001
P00090,S00001
P00091,S00001
P00092,S00001
P00093,S00001
P00094,S00001
P00095,S00001
P00096,S00001
P00097,S00001
P00098,S00001
P00099,S00001
P00100,S00001
P00101,S00001
P00102,S00001
P00103,S00001
P00104,S00001
P00105,S00001
P00106,S00001
P00107,S00001
P00108,S00001
P00109,S00001
P00110,S00001
P00111,S00001
P00112,S00001
P00113,S00001
P00114,S00001
P00115,S00001
P00116,S00001
P00117,S00001
P00118,S00001
P00119,S00001
P00120,S00001
P00121,S00001
P00122,S00001
P00123,S00001
P00124,S00001
P00125,S00001
P00126,S00001
P00127,S00001
P00128,S00001
P00129,S00001
P00130,S00001
P00131,S00001
P00132,S00001
P00133,S00001
P00134,S00001
P00135,S00001
P00136,S00001
P00137,S00001
P00138,S00001
P00139,S00001
P00140,S00001
P00141,S00001
P00142,S00001
P00143,S00001
P00144,S00001
P00145,S00001
P00146,S00001
P00147,S00001
P00148,S00001
P00149,S00001
P00150,S00001
P00151,S00001
P00152,S00001
P00153,S00001
P00154,S00001
P00155,S00001
P00156,S00001
P00157,S00001
P00158,S00001
P00159,S00001
P00160,S00001
P00161,S00001
P00162,S00001
P00163,S00001
P00164,S00001
P00165,S00001
P00166,S00001
P00167,S00001
P00168,S00001
P00169,S00001
P00170,S00001
P00171,S00001
P00172,S00001
P00173,S00001
P00174,S00001
P00175,S00001
P00176,S00001
P00177,S00001
P00178,S00001
P00179,S00001
P00180,S00001
